country,lat,lon,mean_err_km
"Netherlands",52.134054128923886,5.554136426128487,1249.3
"Mali",17.168146208584837,-4.346399841781153,1243.3
"Spain",40.365008336683836,-3.6516251409956983,1231.8
"Kyrgyzstan",41.35698905438358,74.17532903468319,1230.4
"Malta",35.890522650899314,14.441922442508494,1221.4
"Guyana",4.68211981385056,-58.91352612754667,1213.8
"Sri Lanka",7.696630939329944,80.66931169770622,1188.5
"Central African Republic",6.331390033944319,20.520743419397256,1184.6
"Solomon Islands",-9.613104734596515,160.16475795033884,1153.1
"Cocos Islands",-12.171249450199545,96.83688767323002,1145.9
"Liberia",6.52012979398834,-9.258988935497618,1145.1
"Trinidad and Tobago",10.415515638298093,-61.37236579976247,1104.5
"Saint Eustatius",17.4919042294197,-62.978230589445026,1097.2
"Samoa",-13.634252953274622,-172.44107655740137,1069.8
"Congo",-0.7294391595233845,14.879732849491393,1045.6
"Curacao",12.199996647939832,-68.96939768599042,1044.5
"Saint Martin",18.078012113224464,-63.06678525361946,1044.2
"Ecuador",-1.5642721388853116,-78.4630326109714,1031.7
"Nicaragua",12.893566631930554,-85.016088327669,1024.0
"Anguilla",18.222874004219086,-63.06008343771806,1011.5
"China",38.07325481105728,104.69113855849604,1004.0
"Cyprus",35.11700416345239,33.375346009199205,984.9
"Israel",31.513542220043195,35.027923472437024,983.7
"Kazakhstan",47.641465195176835,66.3759193479301,977.9
"Kenya",0.6899182318376179,37.95309411262371,975.8
"Nepal",28.300920699755657,84.1338898313567,973.6
"Tunisia",34.08636179565723,9.65587551697984,945.5
"Heard Island and McDonald Islands",-53.084170035513736,73.49298560844045,942.0
"Cameroon",6.294168487480992,12.948474142398263,934.8
"Sweden",62.73420986108448,17.062431988004956,925.8
"Guernsey",49.45870771378872,-2.576392582891568,923.8
"Yemen",16.001392616307445,47.46815793206386,922.5
"Greece",39.42012261727978,23.110368936161876,915.1
"New Caledonia",-21.33003372660827,165.50767040438612,902.1
"Niger",17.08105392407292,8.86863247002646,898.4
"Peru",-8.522717984240291,-74.11416196781884,887.0
